sofifa_id,short_name,long_name,player_positions,nationality
239085,E. Haaland,Erling Haaland,ST,Norway
231478,L. Martinez,Lautaro Javier Martinez,ST,Argentina
230142,Oyarzabal,Mikel Oyarzabal Ugarte,"LW, RW",Spain
212190,N. Sule,Niklas Sule,CB,Germany
230658,Arthur,Arthur Henrique Ramos de Oliveira Melo,CM,Brazil
209658,L. Goretzka,Leon Goretzka,"CM, CDM",Germany
210035,Grimaldo,Alejandro Grimaldo Garcia,LB,Spain
211300,A. Martial,Anthony Martial,ST,France
212194,J. Brandt,Julian Brandt,"CAM, CM",Germany
213345,K. Coman,Kingsley Coman,"LM, RM, LW",France
216460,J. Gimenez,Jose Maria Gimenez de Vargas,CB,Uruguay
226753,A. Onana,Andre Onana,GK,Cameroon
226790,W. Ndidi,Onyinye Wilfred Ndidi,"CDM, CM",Nigeria
208421,Saul,Saul Niguez Esclapez,"CM, LM, LB",Spain
189117,R. Burki,Roman Burki,GK,Switzerland
198176,S. de Vrij,Stefan de Vrij,CB,Netherlands
200458,L. Digne,Lucas Digne,LB,France
209889,R. Guerreiro,Raphael Adelino Jose Guerreiro,"LM, LB, CM",Portugal
209989,T. Partey,Thomas Teye Partey,CM,Ghana
212462,Alex Telles,Alex Nicolao Telles,LB,Brazil
216352,M. Brozovic,Marcelo Brozovic,"CDM, CM",Croatia
135507,Fernandinho,Fernando Luiz Rosa,"CB, CDM",Brazil
146536,Jesus Navas,Jesus Navas Gonzalez,"RB, RM",Spain
163587,K. Schmeichel,Kasper Schmeichel,GK,Denmark
168435,S. Sirigu,Salvatore Sirigu,GK,Italy
176266,Lucas Leiva,Lucas Pezzini Leiva,CDM,Brazil
177413,A. Witsel,Axel Witsel,"CDM, CM",Belgium
178005,Rui Patricio,Rui Pedro dos Santos Patricio,GK,Portugal
184432,Azpilicueta,Cesar Azpilicueta Tanco,"RB, LB",Spain
190483,Douglas Costa,Douglas Costa de Souza,"LM, RW, LW",Brazil
192629,Iago Aspas,Iago Aspas Juncal,"ST, RW",Spain
193165,J. Corona,Jesus Manuel Corona Ruiz,"RM, RB",Mexico
193474,I. Gueye,Idrissa Gana Gueye,"CDM, CM",Senegal
197445,D. Alaba,David Olatukunbo Alaba,"CB, LB",Austria
197781,Isco,Francisco Roman Alarcon Suarez,"CAM, CM, LW",Spain
197965,Pizzi,Luis Miguel Afonso Fernandes,"RM, CM",Portugal
199451,W. Ben Yedder,Wissam Ben Yedder,ST,France
200647,J. Ilicic,Josip Ilicic,"CF, ST",Slovenia
204838,R. Jimenez,Raul Alonso Jimenez Rodriguez,ST,Mexico
207863,Felipe,Felipe Augusto de Almeida Monteiro,CB,Brazil
211256,N. Tagliafico,Nicolas Alejandro Tagliafico,LB,Argentina
239053,F. Valverde,Federico Santiago Valverde Dipetta,CM,Uruguay
222665,M. Odegaard,Martin Odegaard,"CAM, CM, RM",Norway
231443,O. Dembele,Ousmane Dembele,"LW, RW",France
211688,Gaya,Jose Luis Gaya Pena,LB,Spain
212151,T. Strakosha,Thomas Strakosha,GK,Albania
221087,Pau Lopez,Pau Lopez Sabata,GK,Spain
225100,J. Gomez,Joe Gomez,CB,England
225953,S. Bergwijn,Steven Bergwijn,"LM, LW, RM",Netherlands
228618,F. Mendy,Ferland Mendy,LB,France
229880,A. Wan-Bissaka,Aaron Wan-Bissaka,"RB, RWB",England
235212,A. Hakimi,Achraf Hakimi Mouh,RM,Morocco
210413,A. Romagnoli,Alessio Romagnoli,CB,Italy
211117,D. Alli,Bamidele Alli,"CAM, CM",England
221363,D. van de Beek,Donny van de Beek,"CM, CAM",Netherlands
229261,D. Zakaria,Denis Lemi Zakaria Lako Lado,"CDM, CB, CM",Switzerland
230666,Gabriel Jesus,Gabriel Fernando de Jesus,ST,Brazil
205600,S. Umtiti,Samuel Yves Umtiti,CB,France
207410,M. Kovacic,Mateo Kovacic,"CM, CDM",Croatia
210514,Joao Cancelo,Joao Pedro Cavaco Cancelo,RB,Portugal
227928,Nelson Semedo,Nelson Cabral Semedo,RB,Portugal
192984,K. Casteels,Koen Casteels,GK,Belgium
199482,A. Lopes,Anthony Lopes,GK,Portugal
204923,M. Sabitzer,Marcel Sabitzer,"CM, CAM",Austria
219693,Diego Carlos,Diego Carlos Santos Silva,CB,Brazil
192774,K. Manolas,Konstantinos Manolas,CB,Greece
197061,J. Matip,Joel Andre Job Matip,CB,Cameroon
205069,Juan Bernat,Juan Bernat Velasco,"LB, LM",Spain
216594,N. Fekir,Nabil Fekir,"CAM, RM, ST",France
41236,Z. Ibrahimovic,Zlatan Ibrahimovic,ST,Sweden
162347,Joao Moutinho,Joao Filipe Iria Santos Moutinho,CM,Portugal
163705,S. Mandanda,Steve Mandanda,GK,France
167664,G. Higuain,Gonzalo Gerardo Higuain,ST,Argentina
169195,Renato Augusto,Renato Soares de Oliveira Augusto,"CM, CAM, LM",Brazil
169416,C. Vela,Carlos Alberto Vela Garrido,"RW, LW, CAM",Mexico
170890,B. Matuidi,Blaise Matuidi,"CDM, CM",France
172871,J. Vertonghen,Jan Bert Lieve Vertonghen,"CB, LB",Belgium
173731,G. Bale,Gareth Frank Bale,RW,Wales
176676,Marcelo,Marcelo Vieira da Silva Junior,LB,Brazil
178518,R. Nainggolan,Radja Nainggolan,"CAM, CM, CF",Belgium
178562,E. Banega,Ever Maximiliano David Banega,"CM, CDM",Argentina
180930,E. Dzeko,Edin Dzeko,ST,Bosnia Herzegovina
181872,A. Vidal,Arturo Erasmo Vidal Pardo,"CM, CDM, CAM",Chile
183512,Yuri Berchiche,Yuri Berchiche Izeta,LB,Spain
184134,Fernando,Fernando Francisco Reges,"CDM, CM",Brazil
186345,K. Trippier,Kieran Trippier,RB,England
186942,I. Gundogan,Ilkay Gundogan,"CM, CDM",Germany
187961,Paulinho,Jose Paulo Bezzera Maciel Junior,"CM, CAM, CDM",Brazil
188152,Oscar,Oscar dos Santos Emboaba Junior,"CAM, CM, LW",Brazil
188943,K. Trapp,Kevin Trapp,GK,Germany
189242,Coutinho,Philippe Coutinho Correia,"CAM, LW, CM",Brazil
189575,Muniain,Iker Muniain Goni,"LW, CAM, RW",Spain
190941,L. Hradecky,Lukas Hradecky,GK,Finland
193301,A. Lacazette,Alexandre Lacazette,ST,France
193314,Aitor,Aitor Fernandez Abarisketa,GK,Spain
198717,W. Zaha,Wilfried Zaha,"LM, CF",Ivory Coast
199042,C. Aranguiz,Charles Mariano Aranguiz Sandoval,"CDM, CM",Chile
199434,D. Tadic,Dusan Tadic,"CF, LW, CAM",Serbia
199564,Sergi Roberto,Sergio Roberto Carnicer,"RB, CM",Spain
199845,F. Acerbi,Francesco Acerbi,CB,Italy
199914,Allan,Allan Marques Loureiro,CM,Brazil
200949,Lucas Moura,Lucas Rodrigues Moura da Silva,"RM, CF",Brazil
203486,T. Hazard,Thorgan Hazard,"LM, RM, CF",Belgium
205070,Portu,Cristian Portugues Manzanera,"RW, RM, CF",Spain
205498,Jorginho,Luiz Frello Filho Jorge,"CM, CDM",Italy
205678,E. Visca,Edin Visca,RM,Bosnia Herzegovina
208093,Gerard Moreno,Gerard Moreno Balaguero,"ST, RM, CF",Spain
208574,F. Kostic,Filip Kostic,"LM, LWB",Serbia
215333,D. Zapata,Duvan Esteban Zapata Banguera,ST,Colombia
216547,Rafa,Rafael Alexandre Fernandes Ferreira da Silva,"LM, RM",Portugal
220407,M. Dubravka,Martin Dubravka,GK,Slovakia
224334,M. Acuna,Marcos Javier Acuna,"LB, LM",Argentina
230481,Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,"CAM, RM",Brazil
245279,Reguilon,Sergio Reguilon Rodriguez,"LB, LM",Spain
226271,Fabian,Fabian Ruiz Pena,CM,Spain
220814,L. Hernandez,Lucas Hernandez Pi,"CB, LB",France
224293,Ruben Neves,Ruben Diogo da Silva Neves,CM,Portugal
